"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A570","2019-07-28 00:00:00","360.000","0.000","0.000","23.400","0.980","968.700","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","22.700",""
"C0M800","2019-07-28 00:00:00","440.000","83.000","0.900","21.500","0.950","960.300","-99.000","28.500","-99.000","-99.000","-99.000","30.600","","21.500",""
"C0E870","2019-07-28 00:00:00","34.000","87.000","1.700","24.400","0.980","1004.500","-99.000","4.500","-99.000","-99.000","-99.000","33.800","","24.400",""
"C0V490","2019-07-28 00:00:00","20.000","173.000","1.400","28.700","0.900","1005.700","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","26.500",""
"C0M710","2019-07-28 00:00:00","15.000","139.000","1.100","27.900","0.790","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","27.200",""
"C0D570","2019-07-28 00:00:00","15.000","138.000","0.700","24.300","1.000","1005.700","-99.000","5.500","-99.000","-99.000","-99.000","33.800","","24.300",""
"C0S910","2019-07-28 00:00:00","212.000","302.000","0.300","25.800","0.930","986.600","-99.000","0.500","-99.000","-99.000","-99.000","29.800","","25.700",""
"C0M650","2019-07-28 00:00:00","20.000","129.000","1.500","26.400","0.860","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","26.100",""
"C0K280","2019-07-28 00:00:00","23.000","231.000","0.500","26.300","0.930","1006.900","-99.000","2.000","-99.000","-99.000","-99.000","32.900","","26.300",""
"C0X310","2019-07-28 00:00:00","9.000","144.000","1.500","28.000","0.840","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","27.400",""
"C0A9C0","2019-07-28 00:00:00","35.000","84.000","0.700","27.000","0.880","1004.200","-99.000","2.000","-99.000","-99.000","-99.000","35.000","","26.600",""
"C0V810","2019-07-28 00:00:00","32.000","0.000","0.000","28.500","0.840","1002.900","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","26.200",""
"C0E730","2019-07-28 00:00:00","26.000","121.000","1.300","25.000","0.880","1003.000","-99.000","22.500","-99.000","-99.000","-99.000","35.100","","24.700",""
"C0V770","2019-07-28 00:00:00","26.000","89.000","0.400","27.600","0.990","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","27.000",""
"C0UA10","2019-07-28 00:00:00","1711.000","313.000","0.600","16.400","1.000","831.400","-99.000","5.500","-99.000","-99.000","-99.000","24.000","","15.800",""
"C0M640","2019-07-28 00:00:00","155.000","163.000","0.300","23.900","0.990","990.200","-99.000","44.000","-99.000","-99.000","-99.000","31.500","","23.400",""
"C0S660","2019-07-28 00:00:00","794.000","222.000","0.900","20.100","0.980","924.400","-99.000","5.000","-99.000","-99.000","-99.000","29.400","","19.000",""
"C0AD40","2019-07-28 00:00:00","32.000","0.000","0.000","25.900","0.940","1004.200","-99.000","1.000","-99.000","-99.000","-99.000","34.300","","24.900",""
"C0UA00","2019-07-28 00:00:00","392.000","0.000","0.200","24.300","0.990","965.900","-99.000","1.000","-99.000","-99.000","-99.000","34.300","","22.500",""
"C0I080","2019-07-28 00:00:00","536.000","258.000","0.500","21.100","0.970","951.800","-99.000","11.500","-99.000","-99.000","-99.000","31.900","","20.900",""
"C0UA30","2019-07-28 00:00:00","1397.000","141.000","1.200","18.800","0.990","859.700","-99.000","13.000","-99.000","-99.000","-99.000","23.900","","18.800",""
"C0Z270","2019-07-28 00:00:00","343.000","112.000","1.500","23.200","0.990","971.800","-99.000","23.000","-99.000","-99.000","-99.000","30.000","","23.200",""
"C0G750","2019-07-28 00:00:00","31.000","157.000","0.900","26.200","0.880","1004.600","-99.000","2.000","-99.000","-99.000","-99.000","34.000","","26.200",""
"C0A550","2019-07-28 00:00:00","422.000","0.000","0.000","24.400","1.000","962.500","-99.000","5.500","-99.000","-99.000","-99.000","30.900","","22.800",""
"C0Z160","2019-07-28 00:00:00","124.000","198.000","2.700","25.700","0.880","997.000","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","18.900",""
"C0AH50","2019-07-28 00:00:00","275.000","129.000","0.800","26.600","0.990","977.300","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","26.200",""
"C0F850","2019-07-28 00:00:00","379.000","138.000","0.800","22.700","0.990","964.400","-99.000","33.000","-99.000","-99.000","-99.000","32.500","","22.400",""
"C0G800","2019-07-28 00:00:00","15.000","207.000","2.000","25.900","0.970","1004.300","-99.000","4.000","-99.000","-99.000","-99.000","33.100","","25.400",""
"C0U890","2019-07-28 00:00:00","116.000","280.000","0.600","26.200","0.990","996.700","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.100",""
"C0F860","2019-07-28 00:00:00","2215.000","0.000","0.100","14.200","1.000","780.700","-99.000","2.000","-99.000","-99.000","-99.000","22.500","","12.600",""
"CM0170","2019-07-28 00:00:00","106.000","88.000","2.400","23.700","0.930","996.200","-99.000","17.000","-99.000","-99.000","-99.000","31.800","","23.600",""
"C0B020","2019-07-28 00:00:00","86.000","95.000","1.800","27.200","0.990","996.600","-99.000","0.000","-99.000","-99.000","-99.000","34.500","","26.100",""
"C0I390","2019-07-28 00:00:00","1184.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0T9D0","2019-07-28 00:00:00","7.000","0.000","0.200","25.400","0.990","1009.100","-99.000","15.000","-99.000","-99.000","-99.000","33.600","","25.100",""
